full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,77339,77339,6295,106,106,9,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,73911,73911,9247,315,315,31,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,25725,25725,4619,138,138,25,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,29566,29566,2271,20,20,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,22833,22833,2174,14,14,0,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,27761,27761,1813,48,48,2,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6232,6232,1540,6,6,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,13592,13592,1506,28,28,2,https://github.com/VoltAgent/awesome-claude-code-subagents
shanraisshan/claude-code-best-practice,13987,13987,1317,125,125,11,https://github.com/shanraisshan/claude-code-best-practice
diet103/claude-code-infrastructure-showcase,9235,9235,1193,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7773,7773,555,11,11,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5788,5788,802,14,14,2,https://github.com/Piebald-AI/claude-code-system-prompts
OneRedOak/claude-code-workflows,3706,3706,545,0,0,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5504,5504,470,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
1rgs/claude-code-proxy,3208,3208,424,0,0,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3293,3293,574,4,4,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3587,3587,333,0,0,0,https://github.com/zebbern/claude-code-guide
ykdojo/claude-code-tips,4469,4469,317,3,3,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,619,619,1054,2,2,2,https://github.com/pedrohcgs/claude-code-my-workflow
kodu-ai/claude-coder,5288,5288,199,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2191,2191,365,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6927,6927,338,7,7,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,92208,92208,9866,266,266,31,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2146,2146,309,4,4,1,https://github.com/fuergaosi233/claude-code-proxy
qwibitai/nanoclaw,22122,22122,4753,67,67,60,https://github.com/qwibitai/nanoclaw
Cranot/claude-code-guide,2471,2471,261,0,0,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3754,3754,311,2,2,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2037,2037,258,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-base-action,602,602,590,0,0,0,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,15989,15989,2595,83,83,10,https://github.com/router-for-me/CLIProxyAPI
edmund-io/edmunds-claude-code,1310,1310,271,0,0,0,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,449,449,607,0,0,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
Pimzino/claude-code-spec-workflow,3518,3518,248,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
ding113/claude-code-hub,1806,1806,222,16,16,5,https://github.com/ding113/claude-code-hub
wshobson/agents,31123,31123,3411,18,18,2,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,25904,25904,2452,1,1,0,https://github.com/eyaltoledano/claude-task-master
snarktank/ralph,12778,12778,1351,22,22,2,https://github.com/snarktank/ralph
EveryInc/compound-engineering-plugin,10324,10324,819,7,7,0,https://github.com/EveryInc/compound-engineering-plugin
siteboon/claudecodeui,8345,8345,1067,19,19,2,https://github.com/siteboon/claudecodeui
feiskyer/claude-code-settings,1298,1298,191,0,0,0,https://github.com/feiskyer/claude-code-settings
